Name;Straße;PLZ;Ort;Land;Betriebsstandort;Region;Telefon;E-Mail;Quelle
Fixl Juliana und Josef;Burg Nr. 135;7473;Burg;AT;Burgenland;Südburgenland;+43 3364 2353;;ÖWM-Betriebssuche
Flat Lake GmbH;Hill 1;7093;Jois;AT;Burgenland;Leithaberg;+43 2160 831716;office@flat-lake.at;ÖWM-Betriebssuche
Flatischler;Hauptstrasse 94-96;7201;Neudörfl;AT;Burgenland;Rosalia;;;ÖWM-Betriebssuche
Fleischhacker (Untere Hauptstraße);Untere Hauptstraße 77;7122;Gols;AT;Burgenland;Neusiedlersee;+43 650 2858304;office@fleischhacker-weine.at;ÖWM-Betriebssuche
Fleischhacker (Apetloner Strasse);Apetloner Strasse 45;7142;Illmitz;AT;Burgenland;Neusiedlersee;+43 2175 2112;;ÖWM-Betriebssuche
Fleischhacker (Spinngasse);Spinngasse 1;7143;Apetlon;AT;Burgenland;Neusiedlersee;+43 2175 2833;;ÖWM-Betriebssuche
Flonner;Hauptstrasse 163;7062;St.Margarethen i.Burgenland;AT;Burgenland;Leithaberg;;;ÖWM-Betriebssuche
Follner;Anzengruberstraße 77;1140;Wien;AT;Burgenland;;+43 664 73472770;office@follner.com;ÖWM-Betriebssuche
Foltin Franz;Hauptgasse 2;7083;Purbach am Neusiedler See;AT;Burgenland;Leithaberg;+43 2145 2780;;ÖWM-Betriebssuche
Frank;Sandgasse 1;7142;Illmitz;AT;Burgenland;Neusiedlersee;+43 664 4125707;reiterweingut@aon.at;ÖWM-Betriebssuche
Franschitz;Brunnenweg 6;7312;Horitschon;AT;Burgenland;Mittelburgenland;+43 2610 3139;weinundsein@gmx.at;ÖWM-Betriebssuche
Freiberger;Lisztstrasse 18;7321;Raiding;AT;Burgenland;Mittelburgenland;;;ÖWM-Betriebssuche
Freitag (Hauptplatz);Hauptplatz 21;7093;Jois;AT;Burgenland;Leithaberg;+43 2160 354;;ÖWM-Betriebssuche
Freitag (Kirchengasse);Kirchengasse 1;7092;Winden am See;AT;Burgenland;Leithaberg;+43 2160 8248;ofice@winzerhof-freitag.at;ÖWM-Betriebssuche
Freudenberger;Andauerstrasse 2;7162;Tadten;AT;Burgenland;Neusiedlersee;;;ÖWM-Betriebssuche
Frey;Untere Hauptstrasse 3;2421;Kittsee;AT;Burgenland;Neusiedlersee;+43 2143 2113;prost@weinbau-frey.com;ÖWM-Betriebssuche
Christian Friedrich;Untere Hauptstrasse 44;7121;Weiden am See;AT;Burgenland;Neusiedlersee;+43 2167 7241;office@weingut-friedrich.at;ÖWM-Betriebssuche
Friedrichkeit;Prangerstrasse 73;7091;Breitenbrunn;AT;Burgenland;Leithaberg;+43 2683 3448;schnaps@weinvomfriedrichkeit.at;ÖWM-Betriebssuche
Frischmann;Bruckerstrasse 11;7092;Winden am See;AT;Burgenland;Leithaberg;;;ÖWM-Betriebssuche
Sonja Frischmann Design Winzerin;Untere Hauptstraße 11;7093;Jois;AT;Burgenland;Leithaberg;;order@designwinzerin.at;ÖWM-Betriebssuche
Fritz;Lerchengasse 6;7062;St.Margarethen i.Burgenland;AT;Burgenland;Leithaberg;+43 2680 2661;;ÖWM-Betriebssuche
Frühmann;Raimundg.55/4/2;7400;Oberwart;AT;Burgenland;Südburgenland;;;ÖWM-Betriebssuche
Fuchs;Mühläckerweg 15;7311;Neckenmarkt;AT;Burgenland;Mittelburgenland;+43 2610 43572;chris.fox@gmx.at;ÖWM-Betriebssuche
Fuhrmann;Markt 26;7121;Weiden am See;AT;Burgenland;Neusiedlersee;+43 2167 7668;;ÖWM-Betriebssuche
Der Fuhrmann;Friedhofgasse 1;7121;Weiden am See;AT;Burgenland;Neusiedlersee;+43 2167 7619;info@derfuhrmann.at;ÖWM-Betriebssuche
Förstl;Johannesstrasse 21;7082;Donnerskirchen;AT;Burgenland;Leithaberg;+43 2683 8309;;ÖWM-Betriebssuche
Gaal & Herzenjak;Siedlungsstraße 14;7562;Eltendorf;AT;Burgenland;Südburgenland;+43 664 2490608;christoph.gaal@gmx.at;ÖWM-Betriebssuche
Gabriel (Hauptstrasse 189);Hauptstrasse 189;7062;St.Margarethen i.Burgenland;AT;Burgenland;Leithaberg;+43 2680 2876;office@weingut-ewald-gabriel.at;ÖWM-Betriebssuche
Gabriel (Hauptstrasse 14);Hauptstrasse 14;7062;St.Margarethen i.Burgenland;AT;Burgenland;Leithaberg;+43 2680 2494;;ÖWM-Betriebssuche
Gabriel Karin;Rathausplatz 14;7071;Rust;AT;Burgenland;Ruster Ausbruch;+43 2685 288;info@weinbauernhaus.at;ÖWM-Betriebssuche
Gager;Karrnergasse 8;7301;Deutschkreutz;AT;Burgenland;Mittelburgenland;+43 2613 80385;info@weingut-gager.at;ÖWM-Betriebssuche
"Galumbo ""Finesse & Vollendung""";Obere Hauptstraße 67;7142;Illmitz;AT;Burgenland;Neusiedlersee;+43 676 6197262;office@galumbo.at;ÖWM-Betriebssuche
Gamauf;Hauptstrasse 10;7201;Neudörfl;AT;Burgenland;Rosalia;;;ÖWM-Betriebssuche
Gangl (Apetlonerstrasse);Apetlonerstrasse 9;7142;Illmitz;AT;Burgenland;Neusiedlersee;+43 660 2501160;weingut@h-gangl.at;ÖWM-Betriebssuche
Gangl (Obere Hauptstrasse 9);Obere Hauptstrasse 9;7142;Illmitz;AT;Burgenland;Neusiedlersee;+43 2175 3807;gangl@beimgangl.at;ÖWM-Betriebssuche
Gangl (Obere Hauptstrasse 30);Obere Hauptstrasse 30;7142;Illmitz;AT;Burgenland;Neusiedlersee;+43 2175 2953;;ÖWM-Betriebssuche
Gangl (Zickhöhe);Zickhöhe 2;7142;Illmitz;AT;Burgenland;Neusiedlersee;+43 676 7583044;martin@weinbau-gangl.at;ÖWM-Betriebssuche
Gangl (Neubaugasse);Neubaugasse 24;7121;Weiden am See;AT;Burgenland;Neusiedlersee;+43 2167 74542;;ÖWM-Betriebssuche
Günter Gangl;Ufergasse 40 Günter Gangl;7142;Illmitz;AT;Burgenland;Neusiedlersee;+43 664 4533473;info@weingutgangl.at;ÖWM-Betriebssuche
Ganser;Seestraße 92;7141;Podersdorf am See;AT;Burgenland;Neusiedlersee;;bernd.ganser@a1.net;ÖWM-Betriebssuche
Gansfuss;Kulm 22;7521;Eberau;AT;Burgenland;Südburgenland;+43 3323 2254;;ÖWM-Betriebssuche
Garger;E-Werkstrasse 88;7423;Pinkafeld;AT;Burgenland;Südburgenland;+43 3357 42694;;ÖWM-Betriebssuche
Garger Alfred;Ringstrasse;7522;Strem;AT;Burgenland;Südburgenland;+43 664 3346931;;ÖWM-Betriebssuche
Gartner (Obere Hauptstrasse);Obere Hauptstrasse 39;7142;Illmitz;AT;Burgenland;Neusiedlersee;+43 2175 24032;info@gartnerwein.at;ÖWM-Betriebssuche
Gartner (Bahnstrasse);Bahnstrasse 98;7151;Wallern im Burgenland;AT;Burgenland;Neusiedlersee;+43 2174 2220;gasthof.gartner@aon.at;ÖWM-Betriebssuche
Gartner (Ufergasse);Ufergasse 23;7142;Illmitz;AT;Burgenland;Neusiedlersee;+43 2175 3427;office@gartner-illmitz.at;ÖWM-Betriebssuche
Gartner Nationalpark-Hof;Seegasse 27;7142;Illmitz;AT;Burgenland;Neusiedlersee;+43 2175 3139;nationalparkhof-gartner@aon.at;ÖWM-Betriebssuche
Gasper;Moschendorf 65;7540;Krottendorf;AT;Burgenland;Südburgenland;;;ÖWM-Betriebssuche
Gassler;Moschendorf 130;7540;Krottendorf;AT;Burgenland;Südburgenland;+43 664 4451274;office@weinhof-gassler.at;ÖWM-Betriebssuche
Gassner;Joseph Haydngasse 7;7071;Rust;AT;Burgenland;Ruster Ausbruch;+43 664 9257577;pur@weingut-gassner.at;ÖWM-Betriebssuche
Gelbmann (Gartenviertel);Gartenviertel 8;7163;Andau;AT;Burgenland;Neusiedlersee;+43 676 5287938;petra.gelbmann@gmail.com;ÖWM-Betriebssuche
Gelbmann (Kirchenplatz);Kirchenplatz 9;7152;Pamhagen;AT;Burgenland;Neusiedlersee;+43 699 10325932;josef.gelbmann@gmx.at;ÖWM-Betriebssuche
Gerald Allacher;Neustiftgasse 48;7122;Gols;AT;Burgenland;Neusiedlersee;+43 2173 2247;gerald@allacherwein.at;ÖWM-Betriebssuche
Gerald Unger;Kapellenstrasse 15;7474;Deutsch Schützen-Eisenberg;AT;Burgenland;Südburgenland;+43 3365 2248;office@geraldunger.at;ÖWM-Betriebssuche
Gerdenits;Linke Hauptzeile 28;7053;Hornstein;AT;Burgenland;Leithaberg;+43 2689 2603;gerdenits@aon.at;ÖWM-Betriebssuche
Gerger;Hauptstrasse 103;7051;Großhöflein;AT;Burgenland;Leithaberg;+43 2682 61868;;ÖWM-Betriebssuche
Gerster;Wiener Strasse 26;7123;Mönchhof;AT;Burgenland;Neusiedlersee;;;ÖWM-Betriebssuche
Gesellmann;Langegasse 65;7301;Deutschkreutz;AT;Burgenland;Mittelburgenland;+43 2613 80360;weingut@gesellmann.at;ÖWM-Betriebssuche
Giefing;Hauptstrasse 13;7071;Rust;AT;Burgenland;Ruster Ausbruch;+43 2685 379;giefing@wein-rust.at;ÖWM-Betriebssuche
Gindl;Quergasse 15;7123;Mönchhof;AT;Burgenland;Neusiedlersee;+43 2172 804752;;ÖWM-Betriebssuche
Gisch (Kreuzörtl);Kreuzörtl 6;7141;Podersdorf am See;AT;Burgenland;Neusiedlersee;+43 2177 2124;;ÖWM-Betriebssuche
Gisch (Seestrasse);Seestrasse 76;7141;Podersdorf am See;AT;Burgenland;Neusiedlersee;+43 2177 2276;;ÖWM-Betriebssuche
Gisch-Steiner;Parzelle 94;7141;Podersdorf am See;AT;Burgenland;Neusiedlersee;+43 2177 2915;;ÖWM-Betriebssuche
Glaser;Reitschulgasse 24;7131;Halbturn;AT;Burgenland;Neusiedlersee;+43 699 12383002;weinbau.glaser@yahoo.de;ÖWM-Betriebssuche
Glasner;Nr.27;7473;Hannersdorf;AT;Burgenland;Südburgenland;;;ÖWM-Betriebssuche
Glauber;Hauptstrasse 44;7032;Sigleß;AT;Burgenland;Leithaberg;+43 2626 71221;weinbauglauber@aon.at;ÖWM-Betriebssuche
Glock;Hauptstrasse 26;2413;Edelstal;AT;Burgenland;Neusiedlersee;+43 2145 2234;office@glock-wein.at;ÖWM-Betriebssuche
Gmall;Untere Hauptstrasse 129;7122;Gols;AT;Burgenland;Neusiedlersee;+43 2173 2496;;ÖWM-Betriebssuche
Gmeiner;Angergasse 13;7083;Purbach am Neusiedler See;AT;Burgenland;Leithaberg;+43 2683 5277;mail@weingut-gmeiner.at;ÖWM-Betriebssuche
Gober (Moschendorf);Moschendorf 30;7540;Krottendorf;AT;Burgenland;Südburgenland;+43 3324 360;;ÖWM-Betriebssuche
Gober (Kirchengasse);Kirchengasse 7;7312;Horitschon;AT;Burgenland;Mittelburgenland;+43 664 4489965;ag-gober@aon.at;ÖWM-Betriebssuche
Gober & Freinbichler Wein;Bachgasse 10;7312;Horitschon;AT;Burgenland;Mittelburgenland;+43 650 9136747;gerald@weinevonhand.at;ÖWM-Betriebssuche
Goeroeg;Hauptstrasse 47;7051;Großhöflein;AT;Burgenland;Leithaberg;;;ÖWM-Betriebssuche
Goffer;Moschendorf 68;7540;Krottendorf;AT;Burgenland;Südburgenland;;;ÖWM-Betriebssuche
Gold;Hauptstraße 1;7021;Baumgarten;AT;Burgenland;Leithaberg;+43 2686 2535;;ÖWM-Betriebssuche
Goldenits Anita und Richard;Obere Hauptstrasse 9;7162;Tadten;AT;Burgenland;Neusiedlersee;+43 2176 3638;office@goldenits.com;ÖWM-Betriebssuche
Goldenits Robert;Untere Haupstrasse 8;7162;Tadten;AT;Burgenland;Neusiedlersee;+43 699 12367500;robert@goldenits.at;ÖWM-Betriebssuche
Golser Wein GmbH – Gaudium Vinum Galos;Hofrat Achs Weg 15;7122;Gols;AT;Burgenland;Neusiedlersee;+43 2173 20060;prost@golserwein.at;ÖWM-Betriebssuche
Gossy;Nr.183;7473;Hannersdorf;AT;Burgenland;Südburgenland;;;ÖWM-Betriebssuche
Gowerlhaus;Apetlonerstraße 17;7142;Illmitz;AT;Burgenland;Neusiedlersee;+43 2175 3302;;ÖWM-Betriebssuche
Gradwohl;Lisztstrasse 31;7321;Raiding;AT;Burgenland;Mittelburgenland;+43 2619 7491;;ÖWM-Betriebssuche
Graf (Schmalzhöhgasse);Schmalzhöhgasse 22;7131;Halbturn;AT;Burgenland;Neusiedlersee;+43 2172 8859;office@weingraf.at;ÖWM-Betriebssuche
Graf (Hauptstrasse);Hauptstrasse 1;7051;Großhöflein;AT;Burgenland;Leithaberg;;;ÖWM-Betriebssuche
Grammelhofer;Parkgasse 2;7471;Rechnitz;AT;Burgenland;Südburgenland;;;ÖWM-Betriebssuche
Graszl;Hauptstrasse 71;7063;Oggau am Neusiedler See;AT;Burgenland;Leithaberg;+43 2685 7124;;ÖWM-Betriebssuche
Gratl;Maria Bild 70;8382;Weichselbaum;AT;Burgenland;Südburgenland;+43 699 10017116;office@gratl-wein.at;ÖWM-Betriebssuche
Gratzer;Hauptstrasse 14;7522;Strem;AT;Burgenland;Südburgenland;+43 3324 6330;;ÖWM-Betriebssuche
Gratzl;Deutsch Ehrensdorf 7;7522;Strem;AT;Burgenland;Südburgenland;+43 3323 2039;uhudler@gmx.at;ÖWM-Betriebssuche
Grenzhof-Fiedler;Weinzeile 2;7072;Mörbisch am See;AT;Burgenland;Leithaberg;+43 650 5665055;weingut@grenzhof-fiedler.at;ÖWM-Betriebssuche
Grenzlandkeller Weber;Grenzlandstraße 88;7474;Deutsch Schützen-Eisenberg;AT;Burgenland;Südburgenland;+43 3365 2645;;ÖWM-Betriebssuche
Gross (Angergasse);Angergasse 24;7123;Mönchhof;AT;Burgenland;Neusiedlersee;+43 2173 80652;;ÖWM-Betriebssuche
Gross (Quergasse);Quergasse 26;7123;Mönchhof;AT;Burgenland;Neusiedlersee;+43 2173 80745;gross.heuriger@gmx.net;ÖWM-Betriebssuche
Grosz (Gaas-Weinberg);Gaas-Weinberg 135;7521;Eberau;AT;Burgenland;Südburgenland;+43 660 2792823;office@weingut-grosz.at;ÖWM-Betriebssuche
Grosz (Lerchengasse);Lerchengasse 22;7131;Halbturn;AT;Burgenland;Neusiedlersee;+43 2172 8604;;ÖWM-Betriebssuche
Groszer Wein GmbH;Burg 95;7473;Hannersdorf;AT;Burgenland;Südburgenland;+43 664 3863777;kanzlei@groszerwein.at;ÖWM-Betriebssuche
Großhöfleiner Hof Ernst;Hauptstrasse 49;7051;Großhöflein;AT;Burgenland;Leithaberg;+43 664 1615569;info@ehrlich-wein.at;ÖWM-Betriebssuche
Gruber (Triftgasse);Triftgasse 27;7063;Oggau am Neusiedler See;AT;Burgenland;Leithaberg;+43 2685 7226;;ÖWM-Betriebssuche
Gruber (Kodatschstrasse);Kodatschstrasse 7;7000;Eisenstadt;AT;Burgenland;Leithaberg;;;ÖWM-Betriebssuche
Gruber (Quergasse);Quergasse 51;7123;Mönchhof;AT;Burgenland;Neusiedlersee;;;ÖWM-Betriebssuche
Gruber (Obere Hauptstrasse);Obere Hauptstrasse 82;7142;Illmitz;AT;Burgenland;Neusiedlersee;+43 2175 3396;;ÖWM-Betriebssuche
Gruber (Hauptstrasse);Hauptstrasse 15;7071;Rust;AT;Burgenland;Ruster Ausbruch;+43 664 1645292;info@weinbaugruber.at;ÖWM-Betriebssuche
Grösz;Rosengasse 22;7131;Halbturn;AT;Burgenland;Neusiedlersee;+43 2172 8387;biowein-groesz@halbturn.at;ÖWM-Betriebssuche
Größ;Untere Bahngasse 14;7131;Halbturn;AT;Burgenland;Neusiedlersee;+43 664 3335381;pfeller.juergen@gmail.com;ÖWM-Betriebssuche
Grünauer;Deutsch Ehrensdorf 21;7522;Heiligenbrunn;AT;Burgenland;Südburgenland;+43 3323 2026;;ÖWM-Betriebssuche
Gsellmann Andreas;Obere Hauptstrasse 38;7122;Gols;AT;Burgenland;Neusiedlersee;+43 2173 2214;wein@gsellmann.at;ÖWM-Betriebssuche
Gsellmann Matthias & Ilse;Obere Hauptstraße 28;7122;Gols;AT;Burgenland;Neusiedlersee;+43 2173 3431;office@gsellmann-weine.at;ÖWM-Betriebssuche
Gsellmann Siegfried;Feldgasse 31;7122;Gols;AT;Burgenland;Neusiedlersee;+43 2173 2653;info@weingut-gsellmann.at;ÖWM-Betriebssuche
Gsellmann am Goldberg;Goldbergstrasse 23;7122;Gols;AT;Burgenland;Neusiedlersee;+43 664 88883226;office@dergsellmann.at;ÖWM-Betriebssuche
Gulner;Raiffeiseng. 11;7071;Rust;AT;Burgenland;Ruster Ausbruch;;;ÖWM-Betriebssuche
Gut Altenberg GmbH;Altenbergweg 2;7122;Gols;AT;Burgenland;Neusiedlersee;+43 2173 200520;info@gut-altenberg.com;ÖWM-Betriebssuche
Gut Oggau;Hauptstrasse 31;7063;Oggau am Neusiedler See;AT;Burgenland;Leithaberg;+43 664 2069298;office@gutoggau.com;ÖWM-Betriebssuche
Guttmann (Hauptstrasse);Hauptstrasse 45;7023;Stöttera;AT;Burgenland;Leithaberg;+43 2626 5232;;ÖWM-Betriebssuche
Guttmann (Markt);Markt 43;7121;Weiden am See;AT;Burgenland;Neusiedlersee;+43 2167 7329;office@weingut-guttmann.at;ÖWM-Betriebssuche
Guttmann (Obere Hauptstrasse);Obere Hauptstrasse 6;7121;Weiden am See;AT;Burgenland;Neusiedlersee;+43 2167 7554;;ÖWM-Betriebssuche
Györik;Schwemmgasse 23;7122;Gols;AT;Burgenland;Neusiedlersee;+43 2173 2293;;ÖWM-Betriebssuche
Göschl (Neustiftgasse);Neustiftgasse 56;7122;Gols;AT;Burgenland;Neusiedlersee;+43 2173 2672;;ÖWM-Betriebssuche
Göschl (Am Berg);Am Berg 12;7122;Gols;AT;Burgenland;Neusiedlersee;+43 2173 2100;;ÖWM-Betriebssuche
Göschl & Töchter;Am Kanal 4;7122;Gols;AT;Burgenland;Neusiedlersee;+43 660 5996979;office@weingut-goeschl.at;ÖWM-Betriebssuche
H&H;Waldstraße 59A;7222;Rohrbach bei Mattersburg;AT;Burgenland;Rosalia;+43 2626 63037;;ÖWM-Betriebssuche
H & K Weiss;Neustiftgasse 52;7122;Gols;AT;Burgenland;Neusiedlersee;+43 2173 3559;hk.weiss@aon.at;ÖWM-Betriebssuche
HAFNER - Family Estate;Halbturner Strasse 17;7123;Mönchhof;AT;Burgenland;Neusiedlersee;+43 664 2556575;office@hafner.co.at;ÖWM-Betriebssuche
HAFNER Wine Trading GmbH;Halbturner Str. 17;7123;Mönchhof;AT;Burgenland;Neusiedlersee;+43 2173 80263;julius.hafner@aon.at;ÖWM-Betriebssuche
HERIST Wein;Badergasse 34;7471;Rechnitz;AT;Burgenland;Südburgenland;+43 3363 20303;wein@herist.at;ÖWM-Betriebssuche
Haberhauer;Weinberggasse 11;7071;Rust;AT;Burgenland;Ruster Ausbruch;+43 2685 253;weingut@nhaberhauer.at;ÖWM-Betriebssuche
Habersack;Untere Hauptstrasse 35;7121;Weiden am See;AT;Burgenland;Neusiedlersee;+43 699 12089941;info@weingut-habersack.at;ÖWM-Betriebssuche
Hackl (Schulgasse);Schulgasse 17;7083;Purbach am Neusiedler See;AT;Burgenland;Leithaberg;+43 2683 5917;;ÖWM-Betriebssuche
Hackl (Hauptplatz);Hauptplatz 4;7093;Jois;AT;Burgenland;Leithaberg;+43 2160 8635;;ÖWM-Betriebssuche
Hackstock;Seegasse 24;7063;Oggau am Neusiedler See;AT;Burgenland;Leithaberg;+43 2685 7623;;ÖWM-Betriebssuche
Hafner;Zum Seeblick 14;7083;Purbach am Neusiedler See;AT;Burgenland;Leithaberg;+43 650 2309230;;ÖWM-Betriebssuche
Hafner Johann;Steinbruch 1/18;7141;Podersdorf am See;AT;Burgenland;Neusiedlersee;+43 2177 2945;hanshafner@gmx.at;ÖWM-Betriebssuche
Hafner & Tschank GesnbR;Wienerstraße 66;7082;Donnerskirchen;AT;Burgenland;Leithaberg;+43 2683 8368;office@weinbau-hafner.at;ÖWM-Betriebssuche
Hafners;Feldgasse 46;7503;Großpetersdorf;AT;Burgenland;Südburgenland;+43 3362 53027;genuss@hafners.at;ÖWM-Betriebssuche
Hahnekamp;Klausenweg 17;7000;Eisenstadt;AT;Burgenland;Leithaberg;;;ÖWM-Betriebssuche
Hahnekamp Franz;Dreifaltigkeitsstrasse 10;7000;Eisenstadt;AT;Burgenland;Leithaberg;+43 2682 6198;franz@bkf.at;ÖWM-Betriebssuche
Hahnekamp-Sailer;Hauptstrasse 24;7051;Großhöflein;AT;Burgenland;Leithaberg;+43 660 7633315;weingut@hahnekamp-sailer.at;ÖWM-Betriebssuche
Hahnenkamp (Hauptstraße);Hauptstraße 53;7000;Eisenstadt;AT;Burgenland;Leithaberg;;;ÖWM-Betriebssuche
Hahnenkamp (St. Georgener Hauptstrasse);St. Georgener Hauptstrasse 26;7000;Eisenstadt;AT;Burgenland;Leithaberg;+43 2682 68613;;ÖWM-Betriebssuche
Hahnenkamp Walter;St. Georgener Hauptstrasse 53;7000;Eisenstadt;AT;Burgenland;Leithaberg;+43 2682 66700;weine@weingut-hahnenkamp.at;ÖWM-Betriebssuche
Haidehof;Obere Hauptstraße 58;7142;Illmitz;AT;Burgenland;Neusiedlersee;+43 2175 2108;haidehof@aon.at;ÖWM-Betriebssuche
Haiden;Sechshausgasse 24;7063;Oggau am Neusiedler See;AT;Burgenland;Leithaberg;+43 676 6331685;office@weinhaushaiden.at;ÖWM-Betriebssuche
Haider (Obere Hauptstrasse 41);Obere Hauptstrasse 41;7142;Illmitz;AT;Burgenland;Neusiedlersee;+43 2175 24033;office@weinhaider.at;ÖWM-Betriebssuche
Haider (Seegasse);Seegasse 16;7142;Illmitz;AT;Burgenland;Neusiedlersee;+43 664 5007906;office@weinguthaider.at;ÖWM-Betriebssuche
Haider (Florianigasse);Florianigasse 9a;7142;Illmitz;AT;Burgenland;Neusiedlersee;+43 2175 3506;haider.waltraud@aon.at;ÖWM-Betriebssuche
Haider (Frauenkirchnerstrasse);Frauenkirchnerstrasse 11;7141;Podersdorf am See;AT;Burgenland;Neusiedlersee;+43 2177 2323;info@hans-haider.at;ÖWM-Betriebssuche
Haider (Bruckergasse);Bruckergasse 10;7093;Jois;AT;Burgenland;Leithaberg;+43 2160 8266;;ÖWM-Betriebssuche
Haider (Obere Hauptstrasse 40);Obere Hauptstrasse 40;7142;Illmitz;AT;Burgenland;Neusiedlersee;+43 2175 2109;;ÖWM-Betriebssuche
Haider (Seestrasse);Seestrasse 70;7141;Podersdorf am See;AT;Burgenland;Neusiedlersee;+43 2177 2370;;ÖWM-Betriebssuche
Haider (Hauptplatz);Hauptplatz 10 Haider;7093;Jois;AT;Burgenland;Leithaberg;+43 699 12565510;weingut@ddhaider.at;ÖWM-Betriebssuche
Haider (Rebschulgasse);Rebschulgasse 4;7143;Apetlon;AT;Burgenland;Neusiedlersee;+43 2175 3042;t.haider@tyrolia.com;ÖWM-Betriebssuche
Haider (Seeufergasse);Seeufergasse 8;7143;Apetlon;AT;Burgenland;Neusiedlersee;;;ÖWM-Betriebssuche
Christian Haider;Obere Hauptstrasse 62;7100;Neusiedl am See;AT;Burgenland;Neusiedlersee;+43 2167 8801;office@haiderweine.at;ÖWM-Betriebssuche
Ing. Berthold Haider;Storchenplatz 1;7143;Apetlon;AT;Burgenland;Neusiedlersee;+43 2175 2210;office@weingut-haider.at;ÖWM-Betriebssuche
Haider & Malloth Weinkelterei OG;Am Schrändlsee 2;7142;Illmitz;AT;Burgenland;Neusiedlersee;+43 1 51229920;office@haider-malloth.at;ÖWM-Betriebssuche
Haider Thomas Heinrich;Franz-Liszt-Gasse 15;7100;Neusiedl am See;AT;Burgenland;Neusiedlersee;+43 664 5420388;weingut.haider@aon.at;ÖWM-Betriebssuche
Halbwax;Kodatschstrasse 10;7000;Eisenstadt;AT;Burgenland;Leithaberg;+43 2682 63315;;ÖWM-Betriebssuche
Halper;Nr.78;7473;Burg;AT;Burgenland;Südburgenland;+43 3364 2916;;ÖWM-Betriebssuche
Hamm (Untere Hauptstraße);Untere Hauptstraße 14;2421;Kittsee;AT;Burgenland;Neusiedlersee;+43 2143 2353;;ÖWM-Betriebssuche
Hamm (Hauptstrasse);Hauptstrasse 75;7011;Siegendorf;AT;Burgenland;Leithaberg;+43 2687 8102;;ÖWM-Betriebssuche
Hammer Wein Rust;Hauptstrasse 9;7071;Rust;AT;Burgenland;Ruster Ausbruch;+43 2685 231;info@hammerwein.at;ÖWM-Betriebssuche
Handig;Siedlung 12;2413;Edelstal;AT;Burgenland;Neusiedlersee;+43 2145 24495;;ÖWM-Betriebssuche
Handler (Schäferhof);Schäferhof 4;7132;Frauenkirchen;AT;Burgenland;Neusiedlersee;+43 2172 21995;;ÖWM-Betriebssuche
Handler (Sandhöhe);Sandhöhe 35;7123;Mönchhof;AT;Burgenland;Neusiedlersee;+43 2173 80255;info@weinguthandler.at;ÖWM-Betriebssuche
Hareter (Neustift);Neustift 12;7121;Weiden am See;AT;Burgenland;Neusiedlersee;+43 2167 7941;traubenschenke@hareter.co.at;ÖWM-Betriebssuche
Hareter (Obere Hauptstraße);Obere Hauptstraße 2;7121;Weiden am See;AT;Burgenland;Neusiedlersee;+43 2167 7270;;ÖWM-Betriebssuche
Hareter (Obere Hauptstrasse);Obere Hauptstrasse 35;7121;Weiden am See;AT;Burgenland;Neusiedlersee;+43 2167 7238;weinbau-pension-hareter@aon.at;ÖWM-Betriebssuche
Hareter Dieter & Yvonne;Triftstrasse 11;7121;Weiden am See;AT;Burgenland;Neusiedlersee;+43 664 1980842;dieter@hareter.wine;ÖWM-Betriebssuche
Mario Hareter;Triftstrasse 4 Mario Hareter;7121;Weiden am See;AT;Burgenland;Neusiedlersee;+43 699 10008196;mariohareter@gmx.at;ÖWM-Betriebssuche
Thomas Hareter;Untere Hauptstraße 73;7121;Weiden am See;AT;Burgenland;Neusiedlersee;+43 2167 7612;weingut@hareter.at;ÖWM-Betriebssuche
Harrer;Eisenstädterstraße 2;7100;Neusiedl am See;AT;Burgenland;Neusiedlersee;+43 2167 8860;weingut.harrer@core.at;ÖWM-Betriebssuche
Harrer H.P.;Obere Hauptstrasse 59;7100;Neusiedl am See;AT;Burgenland;Neusiedlersee;+43 699 11625774;h.p.harrer@bkf.at;ÖWM-Betriebssuche
Haselbauer;Schulgasse 3;7083;Purbach am Neusiedler See;AT;Burgenland;Leithaberg;+43 2683 5006;office@weinbau-haselbauer.at;ÖWM-Betriebssuche
Hasieber;Dr. Ratzg. 15;7071;Rust;AT;Burgenland;Ruster Ausbruch;;;ÖWM-Betriebssuche
Hasler;Obere Kellergasse 70;7474;Deutsch Schützen-Eisenberg;AT;Burgenland;Südburgenland;+43 3365 2254;;ÖWM-Betriebssuche
Hatos;Andauer Strasse 19;7162;Tadten;AT;Burgenland;Neusiedlersee;;;ÖWM-Betriebssuche
Hauer;Hauptstrasse 113;7201;Neudörfl;AT;Burgenland;Rosalia;;;ÖWM-Betriebssuche
Haussatzhof;Haussatzstrasse 1;7062;St.Margarethen i.Burgenland;AT;Burgenland;Leithaberg;+43 2680 20077;haussatzhof-wind@aon.at;ÖWM-Betriebssuche
Hautzinger (Obere Hauptstrasse);Obere Hauptstrasse 28;7162;Tadten;AT;Burgenland;Neusiedlersee;+43 2176 2253;;ÖWM-Betriebssuche
Hautzinger (Untere Hauptstrasse);Untere Hauptstrasse 26;7162;Tadten;AT;Burgenland;Neusiedlersee;+43 699 11842029;weingut@hautzinger.at;ÖWM-Betriebssuche
Heideboden;Hauptstrasse 9;7152;Pamhagen;AT;Burgenland;Neusiedlersee;+43 2174 2196;biohof-heideboden@gmx.at;ÖWM-Betriebssuche
