Name;Straße;PLZ;Ort;Land;Betriebsstandort;Region;Telefon;E-Mail;Quelle
Gausterer (Bahngasse);Bahngasse 7;2514;Traiskirchen;AT;Niederösterreich;Thermenregion;+43 2252 53060;;ÖWM-Betriebssuche
Gausterer (Hauptstrasse);Hauptstrasse 55;2353;Guntramsdorf;AT;Niederösterreich;Thermenregion;+43 2236 52256;markus@heurigen-gausterer.at;ÖWM-Betriebssuche
Gausterer (Kampgasse);Kampgasse 4;3494;Gedersdorf;AT;Niederösterreich;Kremstal;+43 2735 8674;;ÖWM-Betriebssuche
Gausterer (Landersdorfer Strasse);Landersdorfer Strasse 29;3500;Krems an der Donau;AT;Niederösterreich;Kremstal;+43 2732 84260;;ÖWM-Betriebssuche
Gausterer (Lichteneckergasse);Lichteneckergasse 5;2353;Guntramsdorf;AT;Niederösterreich;Thermenregion;+43 2236 54422;;ÖWM-Betriebssuche
Gausterer (N. Weidlingerstraße);N. Weidlingerstraße 74, Rohrendorf;3500;Krems an der Donau;AT;Niederösterreich;Kremstal;+43 2732 71069;;ÖWM-Betriebssuche
Gausterer 69;Hauptstraße 69;2353;Guntramsdorf;AT;Niederösterreich;Thermenregion;+43 2236 53410;heuriger@gausterer69.at;ÖWM-Betriebssuche
Gausterer Reinhard;Kerngasse 6;2353;Guntramsdorf;AT;Niederösterreich;Thermenregion;+43 2236 54808;wein@reinhard-gausterer.at;ÖWM-Betriebssuche
Gebetsberger;Hauptstrasse 34;3620;Spitz;AT;Niederösterreich;Wachau;+43 2713 2096;wein@weingut-gebetsberger.at;ÖWM-Betriebssuche
Geer (Geergasse);Geergasse 1;2244;Spannberg;AT;Niederösterreich;Weinviertel;+43 2538 85254;;ÖWM-Betriebssuche
Geer (Matznerstrasse);Matznerstrasse 13;2244;Spannberg;AT;Niederösterreich;Weinviertel;+43 2538 8903;weinbau.geer@gmx.at;ÖWM-Betriebssuche
Gehrer;Leesdorfer Hauptstrasse 43;2500;Baden;AT;Niederösterreich;Thermenregion;+43 2252 80275;office@weinbau-gehrer.at;ÖWM-Betriebssuche
Gehringer;Kleinweikersdorf 9;2023;Wullersdorf;AT;Niederösterreich;Weinviertel;+43 2953 2378;;ÖWM-Betriebssuche
Geischläger;Auggenthal 21;2054;Haugsdorf;AT;Niederösterreich;Weinviertel;+43 2944 2427;e.geischlaeger@bawb.at;ÖWM-Betriebssuche
Geist;Groß- Reipersdorf 42;3741;Pulkau;AT;Niederösterreich;Weinviertel;+43 676 9648674;office@weinbaugeist.at;ÖWM-Betriebssuche
Geistler;Schlossstrasse 33;2453;Sommerein;AT;Niederösterreich;Carnuntum;+43 2168 62816;geistler@gmx.net;ÖWM-Betriebssuche
Geiszler;Laxenburgerstrasse 28;2351;Wiener Neudorf;AT;Niederösterreich;Thermenregion;+43 664 9183054;office@weingut-geiszler.at;ÖWM-Betriebssuche
Geizenauer;Weinzierl 56;3500;Krems an der Donau;AT;Niederösterreich;Kremstal;+43 2732 72187;;ÖWM-Betriebssuche
Genossenschaftsweinkeller reg.Gen.mbH;Winzerstraße 2;2120;Obersdorf;AT;Niederösterreich;Weinviertel;+43 2245 3927;gwk-wein@aon.at;ÖWM-Betriebssuche
Gensberger;Getzersdorf 39;3131;Getzersdorf;AT;Niederösterreich;Traisental;+43 2782 82705;roman.gensberger@gmx.at;ÖWM-Betriebssuche
Genuss-Tradition- Leidenschaft Weinhandel GmbH;Venusbergerstraße 31;3133;Traismauer;AT;Niederösterreich;Traisental;+43 2783 4142;office@fallerwein.at;ÖWM-Betriebssuche
Georg & Christina Hoffinger;Hauptplatz 21;2203;Großebersdorf;AT;Niederösterreich;Weinviertel;+43 699 11961160;hoffinger.georg@gmail.com;ÖWM-Betriebssuche
Georg Sommerbauer;Hochstraße 78;2380;Perchtoldsdorf;AT;Niederösterreich;Thermenregion;+43 1 8698189;georgsommerbauer@a1.net;ÖWM-Betriebssuche
Geppel;Krustetten 11;3511;Furth bei Göttweig;AT;Niederösterreich;Kremstal;+43 2739 2341;;ÖWM-Betriebssuche
Geppel-Mayer;Nussdorferstrasse 118;3508;Paudorf;AT;Niederösterreich;Kremstal;+43 2739 2627;wein@weingut-geppel-mayer.at;ÖWM-Betriebssuche
Gerald Binder;Schlossstraße 307;2024;Mailberg;AT;Niederösterreich;Weinviertel;+43 650 8804285;gerald.binder@ibisacam.at;ÖWM-Betriebssuche
Gerhard Deim;Kalvarienberg 8;3562;Schönberg am Kamp;AT;Niederösterreich;Kamptal;+43 664 9446487;wein@deim.at;ÖWM-Betriebssuche
Gerhard Hauer;Mittelberg 89;3550;Langenlois;AT;Niederösterreich;Kamptal;+43 664 4101089;winzerhof.hauer@aon.at;ÖWM-Betriebssuche
Gerhartl Karl;Hofstatt 43;3500;Imbach;AT;Niederösterreich;Kremstal;+43 2732 82348;;ÖWM-Betriebssuche
Gerhold;Untere Zeile 17;3482;Gösing am Wagram;AT;Niederösterreich;Wagram;+43 2738 2241;info@gerhold.cc;ÖWM-Betriebssuche
Geritzer;Jägergasse 1A;2221;Groß-Schweinbarth;AT;Niederösterreich;Weinviertel;+43 680 3283832;office@weinbau-geritzer.at;ÖWM-Betriebssuche
Gerlinger;Wildendürnbach 356;2164;Wildendürnbach;AT;Niederösterreich;Weinviertel;+43 664 3341035;josef.gerlinger@gmx.at;ÖWM-Betriebssuche
Gerstenbauer;Immendorf 150;2022;Immendorf;AT;Niederösterreich;Weinviertel;+43 2951 8232;;ÖWM-Betriebssuche
Gertrude Hagen;Hohensteinstrasse 61;3500;Krems an der Donau;AT;Niederösterreich;Kremstal;+43 2732 70440;winzerhof_hagen@yahoo.de;ÖWM-Betriebssuche
Gessl Alois und Margit;Zellerndorf 70;2051;Zellerndorf;AT;Niederösterreich;Weinviertel;+43 650 2270367;weingut@gessl.eu;ÖWM-Betriebssuche
Gettinger;Schlossstrasse 19;3500;Krems an der Donau;AT;Niederösterreich;Kremstal;+43 2732 86876;;ÖWM-Betriebssuche
Getzinger;Schmiedgasse 10;3134;Nußdorf ob der Traisen;AT;Niederösterreich;Traisental;+43 664 4265453;office@weingut-getzinger.at;ÖWM-Betriebssuche
Geyer;Hauptstraße 30;3492;Engabrunn;AT;Niederösterreich;Kamptal;+43 2735 2446;weinbau_geyer@aon.at;ÖWM-Betriebssuche
Geyerhof;Ortsstrasse 1;3511;Oberfucha;AT;Niederösterreich;Kremstal;+43 2739 2259;weingut@geyerhof.at;ÖWM-Betriebssuche
Geßl;Hauptplatz 9;2054;Haugsdorf;AT;Niederösterreich;Weinviertel;+43 2944 2838;gessl-wein@gmx.at;ÖWM-Betriebssuche
Giesswein Rudolf;Statzendorf 19;3125;Statzendorf;AT;Niederösterreich;Traisental;+43 2786 68730;rudolf.giesswein@aon.at;ÖWM-Betriebssuche
Giglinger;Ing. Figl Str. 22;2521;Trumau;AT;Niederösterreich;Thermenregion;+43 2253 8945;;ÖWM-Betriebssuche
Gilg;Schlossgasse 33;2102;Hagenbrunn;AT;Niederösterreich;Weinviertel;+43 2262 672781;weingut@gilg.at;ÖWM-Betriebssuche (Update bestehender Leadlisten-Eintrag)
Gill;Neusiedler Straße 52 Gill;3134;Nußdorf ob der Traisen;AT;Niederösterreich;Traisental;+43 664 5171048;info@weinhof-gill.at;ÖWM-Betriebssuche
Gindl (Am Rußbach);Am Rußbach 30;2211;Pillichsdorf;AT;Niederösterreich;Weinviertel;+43 650 9985668;office@weinhofgindl.com;ÖWM-Betriebssuche
Gindl (Hauptstrasse);Hauptstrasse 22;2211;Pillichsdorf;AT;Niederösterreich;Weinviertel;+43 2245 82619;;ÖWM-Betriebssuche
Gindl Gerald;Hauptstrasse 55;2120;Obersdorf;AT;Niederösterreich;Weinviertel;+43 2245 3411;gindl@weingut-gindl.at;ÖWM-Betriebssuche
Gindl H & L;Hauptstrasse 74;2211;Pillichsdorf;AT;Niederösterreich;Weinviertel;+43 2245 83092;weinbau.gindl@gmx.at;ÖWM-Betriebssuche
Girsch;Hauptstrasse 66;2184;Hauskirchen;AT;Niederösterreich;Weinviertel;+43 2533 89686;girsch@weingut-girsch.at;ÖWM-Betriebssuche
Girsch Christoph;Nr. 21;2143;Ginzersdorf;AT;Niederösterreich;Weinviertel;+43 2556 5874;girschitz@gmx.at;ÖWM-Betriebssuche
Glanner;Hauptplatz 5;2514;Traiskirchen;AT;Niederösterreich;Thermenregion;+43 2252 52433;info@weingut-glanner.at;ÖWM-Betriebssuche (Update bestehender Leadlisten-Eintrag)
Glanz;Wimpffengasse 9;3704;Heldenberg;AT;Niederösterreich;Weinviertel;+43 2956 2350;;ÖWM-Betriebssuche
Glaser;Stronsdorf Nr. 23;2153;Stronsdorf;AT;Niederösterreich;Weinviertel;+43 2526 7225;glaserronald@gmail.com;ÖWM-Betriebssuche
Glaser Winemakers KG;Windmühlgasse 1;2070;Retz;AT;Niederösterreich;Weinviertel;+43 2942 263636;office@glaserwein.com;ÖWM-Betriebssuche
Glatt;Hauptstrasse 31;2100;Leobendorf;AT;Niederösterreich;Weinviertel;+43 2262 73102;k.glatt@kabsi.at;ÖWM-Betriebssuche
Glatzenberger;Oberloiben 5;3601;Dürnstein;AT;Niederösterreich;Wachau;+43 2732 85945;;ÖWM-Betriebssuche
Glatzer;Rosenbergstrasse 5;2464;Göttlesbrunn-Arbesthal;AT;Niederösterreich;Carnuntum;+43 2162 8486;info@weingutglatzer.at;ÖWM-Betriebssuche (Update bestehender Leadlisten-Eintrag)
Glock;Dorfstrasse 18;2464;Göttlesbrunn-Arbesthal;AT;Niederösterreich;Carnuntum;+43 2162 8246;weingut.glock@wavenet.at;ÖWM-Betriebssuche
Glück (Hofarnstorf);Hofarnstorf 3;3621;Rossatz-Arnsdorf;AT;Niederösterreich;Wachau;+43 2714 8284;;ÖWM-Betriebssuche
Glück (Mitterarnsdorf);Mitterarnsdorf 32;3621;Rossatz-Arnsdorf;AT;Niederösterreich;Wachau;+43 2714 8308;;ÖWM-Betriebssuche
Glück (Pleissing);Pleissing, Nr. 14;2083;Hardegg;AT;Niederösterreich;Weinviertel;+43 664 4834835;klaus.glueck14@gmail.com;ÖWM-Betriebssuche
Gmeinböck;Mühlweg 6;2170;Poysdorf;AT;Niederösterreich;Weinviertel;+43 664 2361255;weingut@gmeinboeck.at;ÖWM-Betriebssuche
Gmeiner;Hauptstrasse 65;3484;Seebarn am Wagram;AT;Niederösterreich;Wagram;+43 2738 2462;office@gmeiner-weine.at;ÖWM-Betriebssuche
Gnadenberger;Nr. 15;3710;Radlbrunn;AT;Niederösterreich;Weinviertel;+43 699 11501086;weingnadenberger@msn.com;ÖWM-Betriebssuche
Gnauer;Ebersbrunn 38;3711;Großmeiseldorf;AT;Niederösterreich;Weinviertel;+43 2957 702;;ÖWM-Betriebssuche
Goasbua;Badenerstraße 16;2511;Pfaffstätten;AT;Niederösterreich;Thermenregion;+43 2252 89525;weine@schuetzl.at;ÖWM-Betriebssuche
Goldeck Wein- und Sektkellerei;Hans-Haderer- Gasse 8;2540;Bad Vöslau;AT;Niederösterreich;Thermenregion;+43 1 36822580;office@goldeck.at;ÖWM-Betriebssuche
Goll;Mühlgasse 2;3464;Hausleiten;AT;Niederösterreich;Wagram;+43 660 6993026;office@wein-gut-goll.at;ÖWM-Betriebssuche
Gottschuly - Grassl;Dorfstraße 28;2465;Höflein;AT;Niederösterreich;Carnuntum;+43 2162 62293;wein@gottschuly.at;ÖWM-Betriebssuche
Graben Gritsch;Viessling 21;3620;Spitz;AT;Niederösterreich;Wachau;+43 2713 8478;weingut@josef-gritsch.net;ÖWM-Betriebssuche
Grabenwerkstatt;Feldweg 6;3622;Trandorf;AT;Niederösterreich;Wachau;+43 650 2916777;weingut@grabenwerkstatt.at;ÖWM-Betriebssuche
Grabler;Sonnenweg 1;2113;Wetzleinsdorf;AT;Niederösterreich;Weinviertel;+43 676 7552580;philipp.grabler@aon.at;ÖWM-Betriebssuche
Grabner;Wr. Neustädter Str. 27;2542;Kottingbrunn;AT;Niederösterreich;Thermenregion;+43 2252 75463;weinbau@brunnerberghof.at;ÖWM-Betriebssuche
Grabner-Schierer;Hauptstrasse 55;2504;Sooß;AT;Niederösterreich;Thermenregion;+43 2252 87392;office@grabner-schierer.at;ÖWM-Betriebssuche (Update bestehender Leadlisten-Eintrag)
Graf (Braunsdorferstraße);Braunsdorferstraße 16;3500;Krems an der Donau;AT;Niederösterreich;Kremstal;+43 2732 41504;;ÖWM-Betriebssuche
Graf (Bäckergasse);Bäckergasse 27;2193;Wilfersdorf;AT;Niederösterreich;Weinviertel;+43 664 5910995;winzerhofgraf@gmx.at;ÖWM-Betriebssuche
Graf (Dyckstraße);Dyckstraße 1;3500;Krems an der Donau;AT;Niederösterreich;Kremstal;+43 2732 73707;;ÖWM-Betriebssuche
Graf (Herrenzeile);Herrenzeile 47;2192;Kettlasbrunn;AT;Niederösterreich;Weinviertel;+43 2573 25044;weinbau.graf@aon.at;ÖWM-Betriebssuche
Graf (Joching);Joching 53;3610;Weißenkirchen in der Wachau;AT;Niederösterreich;Wachau;+43 2715 2453;heuriger@graf-loiben.at;ÖWM-Betriebssuche
Graf (Kleinhöflein);Kleinhöflein 9;2074;Unterretzbach;AT;Niederösterreich;Weinviertel;+43 2942 20037;;ÖWM-Betriebssuche
Graf (Mauternbach);Mauternbach 14;3512;Mautern an der Donau;AT;Niederösterreich;Wachau;+43 2732 82743;office@weingut-graf.at;ÖWM-Betriebssuche
Graf (Obermarkersdorf 43);Obermarkersdorf 43;2073;Zellerndorf;AT;Niederösterreich;Weinviertel;+43 2942 8247;a.graf@lk-oe.at;ÖWM-Betriebssuche
Graf (Obermarkersdorf 68);Obermarkersdorf 68;2073;Schrattenthal;AT;Niederösterreich;Weinviertel;+43 2942 8234;sissygraf@gmx.at;ÖWM-Betriebssuche
Graf (Platt);Platt 18;2051;Zellerndorf;AT;Niederösterreich;Weinviertel;+43 2945 27803;;ÖWM-Betriebssuche
Graf (Raiffeisenplatz);Raiffeisenplatz 5;2523;Tattendorf;AT;Niederösterreich;Thermenregion;+43 2253 81279;;ÖWM-Betriebssuche
Graf Annemarie;Veltlinerstraße 26;2192;Kettlasbrunn;AT;Niederösterreich;Weinviertel;+43 2573 25044;;ÖWM-Betriebssuche
Graf Berta;Platt 18;2051;Platt;AT;Niederösterreich;Weinviertel;+43 680 1252569;;ÖWM-Betriebssuche
Graf Hardegg;Großkadolz 1;2062;Seefeld-Kadolz;AT;Niederösterreich;Weinviertel;+43 1 2374005526;office@guthardegg.at;ÖWM-Betriebssuche (Update bestehender Leadlisten-Eintrag)
Graf Josef;Nussberggasse 15;1190;Wien;AT;Niederösterreich;;+43 1 4060445;office@grafjosef.at;ÖWM-Betriebssuche
Graf-Faltl;Untere Hauptstraße 4;3552;Stratzing;AT;Niederösterreich;Kremstal;+43 2719 2765;graf-faltl@winzerin.at;ÖWM-Betriebssuche
Grafinger;Priel 22;3541;Senftenberg;AT;Niederösterreich;Kremstal;+43 2719 8208;weinblick@grafinger.info;ÖWM-Betriebssuche
Gramer;Kremserstraße 86;3133;Traismauer;AT;Niederösterreich;Traisental;+43 2783 7024;;ÖWM-Betriebssuche
Granner;Oberloiben 19;3601;Dürnstein;AT;Niederösterreich;Wachau;+43 2732 71754;granner@direkt.at;ÖWM-Betriebssuche
Grasl (Rudolf Reiter-Straße);Rudolf Reiter-Straße 4;2540;Bad Vöslau;AT;Niederösterreich;Thermenregion;+43 664 8213290;office@grasl-wein.at;ÖWM-Betriebssuche
Grasl (Wienerstraße);Wienerstraße 46;3710;Glaubendorf;AT;Niederösterreich;Weinviertel;+43 650 5756512;weingutgrasl@gmail.com;ÖWM-Betriebssuche
Grassl;Nr. 226;2464;Göttlesbrunn-Arbesthal;AT;Niederösterreich;Carnuntum;+43 2162 8402;;ÖWM-Betriebssuche
Grassl Johann und Margarete;Landstraße 19;2464;Göttlesbrunn-Arbesthal;AT;Niederösterreich;Carnuntum;+43 2162 8402;m.grassl@wavenet.at;ÖWM-Betriebssuche
Grassl Philipp;Am Graben 4-6;2464;Göttlesbrunn-Arbesthal;AT;Niederösterreich;Carnuntum;+43 2162 8483;office@weingut-grassl.com;ÖWM-Betriebssuche (Update bestehender Leadlisten-Eintrag)
Gratz;Kleinwiesendorf 18a;3701;Großweikersdorf;AT;Niederösterreich;Wagram;+43 664 1811202;gratz-sekt@aon.at;ÖWM-Betriebssuche
Gratzer;Am Graben 22;2464;Göttlesbrunn-Arbesthal;AT;Niederösterreich;Carnuntum;+43 2162 8487;f.gratzer@wavenet.at;ÖWM-Betriebssuche
Gratzer-Sandriester;Siedlungsgasse 2;2472;Prellenkirchen;AT;Niederösterreich;Carnuntum;+43 699 11136007;gratzer-sandriester@aon.at;ÖWM-Betriebssuche
Graus;Kellergasse 22;2223;Hohenruppersdorf;AT;Niederösterreich;Weinviertel;+43 664 1301774;johann.graus@ace.at;ÖWM-Betriebssuche
Grausenburger;Dorfstrasse 2;3483;Feuersbrunn;AT;Niederösterreich;Wagram;+43 2738 2351;grausenburger_michael@hotmail.com;ÖWM-Betriebssuche
Greil (Alte Weinstraße);Alte Weinstraße 4;3465;Unterstockstall;AT;Niederösterreich;Wagram;+43 650 3903972;office@weingut-greil.at;ÖWM-Betriebssuche
Greil (Frauendorf);Frauendorf 42;3710;Ziersdorf;AT;Niederösterreich;Weinviertel;+43 2959 2279;f.greil@frauendorf.at;ÖWM-Betriebssuche
Greil (Straning);Straning 146;3722;Straning-Grafenberg;AT;Niederösterreich;Weinviertel;+43 660 4573408;andi@greil-wein.at;ÖWM-Betriebssuche
Greilinger (Frauendorf);Frauendorf 26;3710;Ziersdorf;AT;Niederösterreich;Weinviertel;;andreas.greilinger@gmx.at;ÖWM-Betriebssuche
Greilinger (Hauptplatz);Hauptplatz 16;3714;Sitzendorf an der Schmida;AT;Niederösterreich;Weinviertel;+43 2959 2256;;ÖWM-Betriebssuche
Greilinger (Herrenstraße);Herrenstraße 36;3714;Frauendorf an der Schmida;AT;Niederösterreich;Weinviertel;+43 2959 3378;biowein.greilinger@aon.at;ÖWM-Betriebssuche
Greilinger (Kirchengasse);Kirchengasse 10;3710;Ziersdorf;AT;Niederösterreich;Weinviertel;+43 2956 2471;info@greilingerwein.at;ÖWM-Betriebssuche
Greilinger (Schöngrabern);Schöngrabern 241;2020;Schöngrabern;AT;Niederösterreich;Weinviertel;+43 664 4625313;weine@greilinger.at;ÖWM-Betriebssuche
Greimel;Frauenhofgasse 10;3512;Mautern an der Donau;AT;Niederösterreich;Wachau;+43 2732 87355;;ÖWM-Betriebssuche
Greimel-Schober;Mühlgasse 6;3493;Hadersdorf-Kammern;AT;Niederösterreich;Kamptal;+43 2735 2359;helga51@aon.at;ÖWM-Betriebssuche
Griebaum;Bachstraße 2;2170;Wetzelsdorf;AT;Niederösterreich;Weinviertel;+43 2552 3706;margit.griebaum@aon.at;ÖWM-Betriebssuche
Griesmüller;Höflein 69;2465;Höflein;AT;Niederösterreich;Carnuntum;+43 2162 63137;;ÖWM-Betriebssuche
Grill;Untere Marktstrasse 19;3481;Fels am Wagram;AT;Niederösterreich;Wagram;+43 2738 2239;gudrun.grill@aon.at;ÖWM-Betriebssuche
Grill Robert;Wienerstrasse 88;2352;Gumpoldskirchen;AT;Niederösterreich;Thermenregion;+43 664 9171611;office@weingut-grill.at;ÖWM-Betriebssuche
Grillhendl-Heuriger List;Baumgarten 1;3701;Großweikersdorf;AT;Niederösterreich;Wagram;+43 2955 70241;;ÖWM-Betriebssuche
Grillmaier Bioweingärtnerei;Zwettler Strasse 33;3550;Langenlois;AT;Niederösterreich;Kamptal;+43 2734 2531;mail@grillmaier.at;ÖWM-Betriebssuche
Grillmeier-Ladentrog;Pernersdorf 32;2052;Pernersdorf;AT;Niederösterreich;Weinviertel;+43 2944 8616;weingut@grillmeier-ladentrog.at;ÖWM-Betriebssuche
Gritsch (Leisergasse);Leisergasse 14;3495;Rohrendorf bei Krems;AT;Niederösterreich;Kremstal;+43 2732 86449;;ÖWM-Betriebssuche
Gritsch (Radlbach);Radlbach 11;3620;Spitz;AT;Niederösterreich;Wachau;+43 2713 2208;info@weingut-gritsch-wachau.at;ÖWM-Betriebssuche
Gritsch FJ;Kirchenplatz 13;3620;Spitz;AT;Niederösterreich;Wachau;+43 2713 2450;office@gritsch.at;ÖWM-Betriebssuche (Update bestehender Leadlisten-Eintrag)
Gritsch Thomas;Haidgasse 1;3620;Spitz;AT;Niederösterreich;Wachau;+43 676 9504633;info@weingut-gritsch.at;ÖWM-Betriebssuche
Groiss (Mittelberg);Mittelberg 38;3550;Langenlois;AT;Niederösterreich;Kamptal;+43 2734 2950;info@groiss-wein.at;ÖWM-Betriebssuche
Groiss (Ringstraße);Ringstraße 7;3464;Pettendorf;AT;Niederösterreich;Wagram;+43 664 9104121;buero@weingut-groiss.com;ÖWM-Betriebssuche
Groiss (Ruppersthal);Ruppersthal 103;3701;Großweikersdorf;AT;Niederösterreich;Wagram;+43 2955 72674;;ÖWM-Betriebssuche
Groiß;Kleinwiesendorf 24;3701;Großweikersdorf;AT;Niederösterreich;Wagram;+43 2955 70234;office@weingutgroiss.at;ÖWM-Betriebssuche
Groiß Anton;Tiefenthal 6;3701;Großweikersdorf;AT;Niederösterreich;Wagram;+43 2955 70410;info@weingut-groiss.at;ÖWM-Betriebssuche
Groiß KG;Kleinwiesendorf 24;3701;Großweikersdorf;AT;Niederösterreich;Wagram;+43 2955 70234;office@weingutgroiss.at;ÖWM-Betriebssuche
Groll;Alchemistenstraße 12;3470;Kirchberg am Wagram;AT;Niederösterreich;Wagram;+43 664 2742090;elke@weinschnapsgroll.at;ÖWM-Betriebssuche
Groll Daniel;Neudegg 23;3471;Großriedenthal;AT;Niederösterreich;Wagram;+43 664 73035931;danielgroll56@gmail.com;ÖWM-Betriebssuche
Groll Wolfgang;Reith 59;3553;Schiltern;AT;Niederösterreich;Kamptal;+43 2734 8522;info@weingut-groll.at;ÖWM-Betriebssuche
Grolly (Obermarkersdorf 35);Obermarkersdorf 35;2073;Zellerndorf;AT;Niederösterreich;Weinviertel;+43 2942 8350;fritz.grolly@gmx.at;ÖWM-Betriebssuche
Grolly (Obermarkersdorf 4);Obermarkersdorf 4;2073;Obermarkersdorf;AT;Niederösterreich;Weinviertel;+43 2942 8217;office@grolly.wine;ÖWM-Betriebssuche
Gross;K.-Adlitzer-Strasse 47;2514;Möllersdorf;AT;Niederösterreich;Thermenregion;+43 2252 53124;;ÖWM-Betriebssuche
Grossinger (Gut am Steg);Gut am Steg 4;3620;Spitz;AT;Niederösterreich;Wachau;+43 2713 2621;werner.grossinger@aon.at;ÖWM-Betriebssuche
Grossinger (Rote-Tor-Gasse);Rote-Tor-Gasse 2;3620;Spitz;AT;Niederösterreich;Wachau;;;ÖWM-Betriebssuche
Großauer;Bergstraße 14;3562;Schönberg;AT;Niederösterreich;Kamptal;+43 2733 8319;ernest@grossauer.eu;ÖWM-Betriebssuche
Gruber (Agnesstrasse);Agnesstrasse 43;3400;Klosterneuburg;AT;Niederösterreich;Wagram;+43 2243 32554;;ÖWM-Betriebssuche
Gruber (Grubstrasse);Grubstrasse 241;3610;Weißenkirchen in der Wachau;AT;Niederösterreich;Wachau;+43 2715 2437;;ÖWM-Betriebssuche
Gruber (Hauptstrasse);Hauptstrasse 37;2203;Putzing;AT;Niederösterreich;Weinviertel;+43 676 6206296;wein@winzerhofgruber.at;ÖWM-Betriebssuche
Gruber (Untere Strasse);Untere Strasse 7 a;3553;Schiltern;AT;Niederösterreich;Kamptal;+43 2734 8535;gruber-wein@aon.at;ÖWM-Betriebssuche
Gruber (Wösendorf);Wösendorf 50;3610;Wösendorf in der Wachau;AT;Niederösterreich;Wachau;+43 2715 2744;;ÖWM-Betriebssuche
Gruber 43;Mittelberg 43;3550;Langenlois;AT;Niederösterreich;Kamptal;+43 664 4925146;office@gruber43.at;ÖWM-Betriebssuche
Gruber Johann;Weinbergstraße 22;3494;Gedersdorf;AT;Niederösterreich;Kremstal;+43 2735 8915;;ÖWM-Betriebssuche
Gruber Ludwig;Hauptstrasse 53;3714;Niederschleinz;AT;Niederösterreich;Weinviertel;+43 676 7271459;ludwig@weingutgruber.at;ÖWM-Betriebssuche
Gruber Manfred;Mittelberg 42;3550;Langenlois;AT;Niederösterreich;Kamptal;+43 2734 4575;m.gruber@gruber-weingut.at;ÖWM-Betriebssuche
Gruber Röschitz;Roggendorfer Straße 7;3743;Röschitz;AT;Niederösterreich;Weinviertel;+43 2984 2765;office@gruber-roeschitz.at;ÖWM-Betriebssuche (Update bestehender Leadlisten-Eintrag)
Gräf;Badener Straße 74;2540;Bad Vöslau;AT;Niederösterreich;Thermenregion;+43 2252 75356;;ÖWM-Betriebssuche
Grötzer;Oberort 81;2042;Guntersdorf;AT;Niederösterreich;Weinviertel;+43 2951 2493;;ÖWM-Betriebssuche
Grün;Probstenzeil 3;2223;Klein-Harras;AT;Niederösterreich;Weinviertel;+43 2574 8706;fs.gruen@aon.at;ÖWM-Betriebssuche
Grünauer;Hauptstrasse 199;2245;Velm-Götzendorf;AT;Niederösterreich;Weinviertel;;johann.gruenauer@aon.at;ÖWM-Betriebssuche
Grünwald Andrea;;2264;Jedenspeigen;AT;Niederösterreich;Weinviertel;;andrea.gruenwald76@gmail.com;ÖWM-Betriebssuche
Grünwidl;Hauptplatz 137;2024;Mailberg;AT;Niederösterreich;Weinviertel;+43 2943 3161;weingut@gruenwidl.at;ÖWM-Betriebssuche
Gschirrmeister;Feldgasse 13;3400;Kierling;AT;Niederösterreich;Wagram;+43 2243 83834;;ÖWM-Betriebssuche
Gschwandtner;Schickenberggasse 16;3552;Lengenfeld;AT;Niederösterreich;Kremstal;+43 2719 2748;;ÖWM-Betriebssuche
Gschweicher;Winzerstrasse 29;3743;Röschitz;AT;Niederösterreich;Weinviertel;+43 2984 3800;office@gschweicher.at;ÖWM-Betriebssuche (Update bestehender Leadlisten-Eintrag)
Gschwindl Josef;Hauptstraße 58;2122;Münichsthal;AT;Niederösterreich;Weinviertel;+43 2245 4929;familie.gschwindl@gmail.com;ÖWM-Betriebssuche
Guggenberger;Gettsdorf 31;3710;Gettsdorf;AT;Niederösterreich;Weinviertel;+43 676 7341540;guggenberger.georgie@aon.at;ÖWM-Betriebssuche
Gumprecht;Alte Poststraße 7;2410;Hainburg a.d. Donau;AT;Niederösterreich;Carnuntum;+43 2165 62423;;ÖWM-Betriebssuche
Gunhold;Hartergasse 16;2500;Baden;AT;Niederösterreich;Thermenregion;+43 2252 21421;;ÖWM-Betriebssuche
Gusenbauer;Thallerner Hauptsraße 30;3506;Krems an der Donau;AT;Niederösterreich;Kremstal;+43 2739 2212;gasthaus-gusenbauer@wavenet.at;ÖWM-Betriebssuche
Gusterhof;Mühlweg 6;3511;Palt;AT;Niederösterreich;Kremstal;+43 2732 73458;office@gusterhof.at;ÖWM-Betriebssuche
Gut Kellerstöckl - Familie Schuckert;Winterzeile 15;2170;Poysdorf;AT;Niederösterreich;Weinviertel;+43 664 1318027;schuckert@gut-kellerstoeckl.at;ÖWM-Betriebssuche
Gutmayer;Unterdürnbach 17 Gutmayer;3721;Unterdürnbach;AT;Niederösterreich;Weinviertel;+43 2958 88319;weingut.gutmayer@aon.at;ÖWM-Betriebssuche
Gänsdorfer;Babenbergergasse 11;3542;Gföhl;AT;Niederösterreich;Kremstal;;cwgaensdorfer@a1.net;ÖWM-Betriebssuche
Göltl;Weinbergweg 68;2464;Göttlesbrunn-Arbesthal;AT;Niederösterreich;Carnuntum;+43 2162 8996;;ÖWM-Betriebssuche
Göschl;Hohenruppersdorf 44;2223;Hohenruppersdorf;AT;Niederösterreich;Weinviertel;+43 2574 8275;;ÖWM-Betriebssuche
